id,movie_id,image,original_title,title,release_year,rating,
147,762504,/52McjY2vAEiF0lJe8iBdOBNuyok.jpg,Nope,놉,2022-07-20,7,
148,791373,/qd7iPB26bwMPZqRcnflzAeDkMn.jpg,Zack Snyder's Justice League,잭 스나이더의 저스티스 리그,2021-03-18,8.2,
149,111332,/sjf3xjuofCtDhZghJRzXlTiEjJe.jpg,Avatar: Creating the World of Pandora,Avatar: Creating the World of Pandora,2010-02-07,7.4,
150,1014226,/wHowKf77gNZbVo9yu5ggiNBFCdJ.jpg,Sonr?e,Sonr?e,2022-08-18,1,
151,674,/h6BhNwNXg0IEbs2PoWfCX9QEvgl.jpg,Harry Potter and the Goblet of Fire,해리 포터와 불의 잔,2005-11-16,7.8,
152,838197,/yt40jRlEkpx34XbxlZqvotFRGzW.jpg,...Altrimenti ci arrabbiamo!,"다 비켜, 우리 화났어",2022-03-23,5.4,
153,524434,/aNtAP8ZzUMdnCPoqYgVOcgI0Eh4.jpg,Eternals,이터널스,2021-11-03,7,
154,820232,/3vlBg3kTsHioTy7owIDXFHNXBNk.jpg,鬼滅の刃 兄妹の絆,귀멸의 칼날: 남매의 연,2019-03-29,8.2,
155,566525,/14L4NGrqO4r7gJtVRiSRP5rNsL5.jpg,Shang-Chi and the Legend of the Ten Rings,샹치와 텐 링즈의 전설,2021-09-01,7.7,
156,324786,/nlvcNogJK9R9iIj0YINApQE36FF.jpg,Hacksaw Ridge,핵소 고지,2016-10-07,8.2,
157,927341,/etc6HKBEhNySNnYU2nRgbSeIyoW.jpg,Hunting Ava Bravo,Hunting Ava Bravo,2022-04-01,6.5,
158,894205,/7xjqr2e1Eu4008Wk8JlipNtyVlD.jpg,Werewolf by Night,웨어울프 바이 나이트,2022-09-25,7.1,
159,829280,/S6fDnntDjduIWuLW2GcqFasobD.jpg,Enola Holmes 2,에놀라 홈즈 2,2022-11-04,8,
160,303857,/e6kmwINMGyPNxuoZyjIlhiXyYGH.jpg,ドラゴンボ?ルZ 復活の「F」,드래곤볼 Z - 부활의 'F',2015-04-18,6.8,
161,808,/hABnmgdAU3u6Nu61b9GUGaOseVl.jpg,Shrek,슈렉,2001-05-18,7.7,
162,667276,/fR49hZdFJ6ZtRS23JW79VYmZgI7.jpg,Las Leyendas: El Origen,레전드 퀘스트: 오리진,2021-02-15,8.2,
163,803114,/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,The Requin,더 리퀸,2022-01-28,5,
164,767,/fHfnrfpQXt91XN4XBh9DMDFuYdq.jpg,Harry Potter and the Half-Blood Prince,해리 포터와 혼혈왕자,2009-07-07,7.7,
165,1010821,/2X8Bu04YhXDhr8I8DWavQ0MIfLC.jpg,Groot Takes a Bath,그루트의 샤워타임,2022-08-10,7,
166,14836,/iGp4wBc0ZBVFd2HPicyDgl6Pn1r.jpg,Coraline,코렐라인: 비밀의 문,2009-02-05,7.8,
167,802699,/rxu2MgncYDe6CGSASAwIaC4SHbR.jpg,とつくにの少女,바깥 나라의 소녀,2022-03-10,6.5,
168,406759,/2xmJCxrt5t2dFhvwvmxZ5Cy577j.jpg,Moonfall,문폴,2022-02-03,6.4,
169,759175,/9pCoqX24a6rE981fY1O3PmhiwrB.jpg,The Princess,프린세스,2022-06-16,6.9,
